opeid,name,address,city,state,state_desc,zipcode,zipcode_ext,school_type_code,school_type_desc,year_1,year_1_borrowers_in_default,year_1_borrowers_in_repay,year_1_default_rate,year_2,year_2_borrowers_in_default,year_2_borrowers_in_repay,year_2_default_rate,year_3,year_3_borrowers_in_default,year_3_borrowers_in_repay,year_3_default_rate
32783,CHARTER COLLEGE,27125 SIERRA HIGHWAY SUITE 329,CANYON COUNTRY,CA,CALIFORNIA,91351,5432,3,PrivateForProfit,2013,280,1579,17.7,2012,248,1660,14.9,2011,236,1452,16.2
25769,CHARTER COLLEGE,17200 S.E. MILL PLAIN BOULEVARDSUITE 100,VANCOUVER,WA,WASHINGTON,98683,7575,3,PrivateForProfit,2013,405,2730,14.8,2012,308,2315,13.3,2011,244,1497,16.2
32343,CHARTER OAK STATE COLLEGE,55 PAUL MANAFORT DRIVE,NEW BRITAIN,CT,CONNECTICUT,6053,2150,1,Public,2013,19,361,5.2,2012,14,320,4.3,2011,22,305,7.2
10880,CHATFIELD COLLEGE,20918 STATE ROUTE 251,SAINT MARTIN,OH,OHIO,45118,9705,2,PrivateNonProfit,2013,41,260,15.7,2012,29,178,16.2,2011,21,100,21
3244,CHATHAM UNIVERSITY,WOODLAND ROAD,PITTSBURGH,PA,PENNSYLVANIA,15232,2826,2,PrivateNonProfit,2013,17,743,2.2,2012,19,741,2.5,2011,15,636,2.3
12182,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,2602 COLLEGE DRIVE,PHENIX CITY,AL,ALABAMA,36869,7917,1,Public,2013,29,182,15.9,2012,12,109,11,2011,28,187,14.9
22042,"CHATTANOOGA COLLEGE - MEDICAL, DENTAL AND TECHNICAL CAREERS",248 NORTHGATE MALL DRIVE,CHATTANOOGA,TN,TENNESSEE,37415,6906,3,PrivateForProfit,2013,39,270,14.4,2012,59,413,14.2,2011,55,346,15.8
3998,CHATTANOOGA STATE COMMUNITY COLLEGE,4501 AMNICOLA HIGHWAY,CHATTANOOGA,TN,TENNESSEE,37406,1097,1,Public,2013,811,3729,21.7,2012,748,3481,21.4,2011,699,2914,23.9
22119,CHEEKS INTERNATIONAL ACADEMY OF BEAUTY CULTURE,207 WEST 18TH STREET,CHEYENNE,WY,WYOMING,82001,4413,3,PrivateForProfit,2013,17,97,17.5,2012,13,126,10.3,2011,19,145,13.1
3218,CHEMEKETA COMMUNITY COLLEGE,4000 LANCASTER DRIVE NORTHEAST,SALEM,OR,OREGON,97309,1500,1,Public,2013,849,3828,22.1,2012,712,3046,23.3,2011,584,2663,21.9
21760,CHERYL FELL'S SCHOOL OF BUSINESS,2541 MILITARY ROAD,NIAGARA FALLS,NY,NEW YORK,14304,1505,3,PrivateForProfit,2013,12,37,32.4,2012,26,97,26.8,2011,15,51,29.4
34095,CHESTER CAREER COLLEGE,751 WEST HUNDRED ROAD,CHESTER,VA,VIRGINIA,23836,2516,3,PrivateForProfit,2013,52,231,22.5,2012,82,339,24.1,2011,92,425,21.6
7529,CHESTER COUNTY INTERMEDIATE UNIT PRACTICAL NURSING PROGRAM,443 BOOT ROAD,DOWNINGTOWN,PA,PENNSYLVANIA,19335,3043,1,Public,2013,5,78,6.4,2012,7,96,7.2,2011,13,94,13.8
3245,CHESTNUT HILL COLLEGE,9601 GERMANTOWN AVENUE,PHILADELPHIA,PA,PENNSYLVANIA,19118,2693,2,PrivateNonProfit,2013,62,786,7.8,2012,47,744,6.3,2011,50,653,7.6
3317,CHEYNEY UNIVERSITY OF PENNSYLVANIA,1837 UNIVERSITY CIRCLE,CHEYNEY,PA,PENNSYLVANIA,19319,200,1,Public,2013,167,617,27,2012,153,570,26.8,2011,148,549,26.9
41184,CHICAGO ORT TECHNICAL INSTITUTE,5440 FARGO AVENUE,SKOKIE,IL,ILLINOIS,60077,3210,2,PrivateNonProfit,2013,1,34,2.9,2012,4,49,8.1,2011,44,155,28.3
21553,CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,617 WEST SEVENTH STREET,LOS ANGELES,CA,CALIFORNIA,90017,3830,2,PrivateNonProfit,2013,43,1675,2.5,2012,47,1297,3.6,2011,55,1142,4.8
1694,CHICAGO STATE UNIVERSITY,9501 SOUTHKING DRIVE,CHICAGO,IL,ILLINOIS,60628,1598,1,Public,2013,239,2343,10.2,2012,327,2436,13.4,2011,251,1809,13.8
1661,CHICAGO THEOLOGICAL SEMINARY,1407 E. 60TH STREET,CHICAGO,IL,ILLINOIS,60637,2902,2,PrivateNonProfit,2013,3,80,3.7,2012,2,73,2.7,2011,5,67,7.4
21659,CHILLICOTHE BEAUTY ACADEMY,505 ELM STREET,CHILLICOTHE,MO,MISSOURI,64601,2612,3,PrivateForProfit,2013,3,32,9.3,2012,4,33,12.1,2011,5,31,16.1
1472,CHIPOLA COLLEGE,3094 INDIAN CIRCLE,MARIANNA,FL,FLORIDA,32446,2053,1,Public,2013,16,133,12,2012,10,81,12.3,2011,13,97,13.4
