DEPARTURE_DATETIME,AIRLINE,DAY_OF_WEEK,DISTANCE,AIR_TIME,TAXI_IN,TAXI_OUT,DEPARTURE_DELAY
2015-01-08 16:46:00,DL,4,1670,198.0,7.0,17.0,-9.0
2015-01-08 16:49:00,EV,4,265,44.0,6.0,21.0,154.0
2015-01-08 18:42:00,WN,4,937,,,11.0,2.0
2015-01-08 19:38:00,DL,4,2586,348.0,14.0,21.0,38.0
2015-01-08 20:47:00,UA,4,315,44.0,6.0,58.0,154.0
2015-01-08 22:10:00,US,4,507,78.0,3.0,18.0,0.0
2015-01-09 05:59:00,WN,5,946,160.0,6.0,21.0,-6.0
2015-01-09 06:04:00,OO,5,531,71.0,6.0,27.0,-1.0
2015-01-09 06:09:00,UA,5,334,56.0,11.0,23.0,-1.0
2015-01-09 06:12:00,OO,5,308,56.0,11.0,18.0,-6.0
2015-01-09 06:47:00,AA,5,1235,157.0,5.0,18.0,-3.0
2015-01-09 07:02:00,DL,5,363,61.0,9.0,9.0,2.0
2015-01-09 07:25:00,NK,5,1127,151.0,13.0,13.0,-5.0
2015-01-09 11:09:00,WN,5,1224,139.0,6.0,26.0,-1.0
2015-01-09 11:32:00,DL,5,2079,263.0,8.0,26.0,-1.0
2015-01-09 11:55:00,US,5,361,65.0,6.0,15.0,-5.0
2015-01-09 12:22:00,AA,5,868,121.0,6.0,15.0,11.0
2015-01-09 13:11:00,WN,5,971,153.0,5.0,20.0,-4.0
2015-01-09 15:01:00,OO,5,1504,221.0,5.0,17.0,-3.0
2015-01-09 15:23:00,UA,5,862,124.0,9.0,10.0,-1.0
2015-01-09 15:32:00,OO,5,250,52.0,5.0,15.0,-5.0
2015-01-09 15:38:00,EV,5,463,93.0,6.0,17.0,17.0
2015-01-09 15:39:00,B6,5,2586,289.0,5.0,13.0,64.0
2015-01-09 15:41:00,EV,5,844,112.0,10.0,20.0,6.0
2015-01-09 15:42:00,WN,5,669,100.0,6.0,13.0,2.0
2015-01-09 16:20:00,DL,5,626,92.0,4.0,15.0,-10.0
2015-01-09 17:29:00,WN,5,1036,136.0,7.0,8.0,19.0
2015-01-09 17:29:00,WN,5,436,74.0,7.0,25.0,-1.0
2015-01-09 19:07:00,UA,5,948,127.0,3.0,10.0,5.0
2015-01-09 19:25:00,EV,5,196,30.0,6.0,15.0,20.0
2015-01-09 19:47:00,WN,5,616,84.0,3.0,11.0,12.0
2015-01-09 19:56:00,UA,5,1024,145.0,4.0,13.0,54.0
2015-01-09 20:50:00,DL,5,545,85.0,5.0,18.0,-6.0
2015-01-09 22:01:00,NK,5,1076,158.0,6.0,13.0,141.0
2015-01-09 22:45:00,B6,5,2342,276.0,5.0,17.0,-8.0
2015-01-10 05:56:00,DL,6,591,83.0,5.0,24.0,-4.0
2015-01-10 06:00:00,WN,6,651,92.0,5.0,23.0,0.0
2015-01-10 06:40:00,WN,6,308,49.0,3.0,7.0,-5.0
2015-01-10 08:03:00,WN,6,1073,168.0,8.0,15.0,3.0
2015-01-10 08:28:00,AA,6,748,108.0,4.0,21.0,-2.0
2015-01-10 09:38:00,DL,6,192,30.0,4.0,21.0,-2.0
2015-01-10 11:14:00,WN,6,239,41.0,3.0,7.0,14.0
2015-01-10 11:15:00,OO,6,209,44.0,3.0,25.0,30.0
2015-01-10 11:44:00,US,6,646,91.0,3.0,22.0,-6.0
2015-01-10 12:36:00,MQ,6,282,42.0,3.0,17.0,-4.0
2015-01-10 12:53:00,HA,6,100,20.0,8.0,13.0,1.0
2015-01-10 12:59:00,VX,6,954,132.0,6.0,9.0,-6.0
2015-01-10 13:09:00,AA,6,985,129.0,22.0,10.0,-6.0
2015-01-10 13:28:00,DL,6,1501,204.0,5.0,12.0,-2.0
2015-01-10 14:18:00,WN,6,368,59.0,5.0,12.0,68.0
2015-01-10 15:38:00,OO,6,251,39.0,5.0,10.0,-4.0
2015-01-10 16:20:00,DL,6,547,69.0,3.0,9.0,0.0
2015-01-10 16:20:00,HA,6,84,23.0,6.0,5.0,23.0
2015-01-10 16:21:00,AA,6,224,44.0,12.0,12.0,-4.0
2015-01-10 16:31:00,EV,6,315,44.0,6.0,37.0,21.0
